"DNNumber","Date","FieldDetermination","Location","Description","Latitude","Longitude"
68,1992-04-09,"Eucalyptus largiflorens","4km south west of Roseworthy University, SA","Mature trees to 15m tall by 20m wide with thick, dark grey to black bark to small limbs and dull bluish-grey to grey leaves. Growing on flat flood plain associated with E. Aff. odorata and E. dumosa (glossy leaved).",-34.5666666666667,138.7
69,1992-06-20,"Eucalyptus paludicola","200m in from main road on south edge of Coxs Scrub, SA","Tree 5-8m tall, upright habit, smooth grey bark, in full bud. Growing in sandy creek bed with Eucalyptus cosmophylla, E. fasciculosa, E. leucoxylon, E. viminalis ssp. cygnetensis, E. odorata and Banksia ornata.",-35.3333333333333,139.75
70,1992-06-20,"Eucalyptus paludicola","200m in from main road on south edge of Coxs Scrub, SA","Tree 5-8m tall, upright habit, smooth grey bark, in full bud. Growing in sandy creek bed with E. cosmophylla, E. fasciculosa, E. leucoxylon, E. viminalis ssp. cygnetensis, E. aff. odorata and Banksia ornata.",-35.3333333333333,139.75
71,1992-06-20,"Eucalyptus odorata","200m in from main road on south edge of Coxs Scrub, SA","Whipstick to 4m tall, smooth grey over light grey bark,adult leaves maturing glossy green. Growing in sandy creek bed only with E. cosmophylla, E. paludicola, E. leucoxylon, and E. fasciculosa.",-35.3333333333333,139.75
72,1992-06-20,"Eucalyptus odorata","200m in from main road on south edge of Coxs Scrub, SA","Whipstick to 4m tall, smooth grey over light grey bark,adult leaves maturing glossy green. Growing in sandy creek bed only with E. cosmophylla, E. paludicola, E. leucoxylon, and E. fasciculosa.",-35.3333333333333,139.75
73,1992-06-20,"Eucalyptus odorata","200m in from main road on south edge of Coxs Scrub, SA","Whipstick to 4m tall, smooth grey over light grey bark,adult leaves maturing glossy green. Growing in sandy creek bed only with E. cosmophylla, E. paludicola, E. leucoxylon, and E. fasciculosa.",-35.3333333333333,139.75
74,1992-06-20,"Eucalyptus odorata","200m in from main road on south edge of Coxs Scrub, SA","Whipstick to 4m tall, smooth grey over light grey bark,adult leaves maturing glossy green. Growing in sandy creek bed only with E. cosmophylla, E. paludicola, E. leucoxylon, and E. fasciculosa.",-35.3333333333333,139.75
75,1992-07-25,"Eucalyptus cneorifolia","Wilson Hill 10 km, west Victor Harbour, South Australia","AD",-35.5666666666667,138.533333333333
76,1992-07-25,"Eucalyptus cneorifolia","Callawonga Hill, south Victor Harbour to Cape Jervis Road, SA",NA,-35.5833333333333,138.383333333333
77,1992-07-25,"Eucalyptus phenax subsp. compressa","Approx. 5km east of Callowonga Hill (west of Victor Harbour) SA",NA,-35.6,138.333333333333
78,1992-08-08,"Eucalyptus gracilis","4.2km south of rail crossing on Proper Bay Road, south of Port Lincoln, SA",NA,-34.7833333333333,135.833333333333
79,1992-08-09,"Eucalyptus gracilis","20m north west of survey mark on Point Avoid, Eyre Peninsula, SA",NA,-34.6833333333333,135.383333333333
80,1992-08-09,"Eucalyptus gracilis","150m south of survey mark on Point Avoid, Eyre Peninsular, SA",NA,-34.6833333333333,135.383333333333
81,1992-08-09,"Eucalyptus rugosa","Point Avoid, Eyre Peninsular, SA",NA,-34.6833333333333,135.383333333333
82,1992-08-09,"Eucalyptus gracilis","East side of Lake Greenly (on farm property), Eyre Peninsula, SA",NA,-34.3333333333333,135.416666666667
83,1992-08-09,"Eucalyptus yalatensis","East side of Lake Greenly (on farm property), Eyre Peninsula, SA",NA,-34.3333333333333,135.416666666667
84,1992-08-09,"Eucalyptus behriana","6km north of Cummins on Cumminsville Homestead Road, Eyre Peninsular, SA",NA,-34.25,135.75
85,1992-08-09,"Eucalyptus behriana","6km north of Cummins on Cumminsville Homestead Road, Eyre Peninsular, SA",NA,-34.25,135.75
86,1992-08-09,"Eucalyptus calycogona subsp. spaffordii","6km north of Cummins on Yeelanna Road,  Eyre Peninsular, SA",NA,-34.25,135.75
87,1992-09-05,"Eucalyptus odorata","7 km E of milk factory south of Mt. Compass, on hill south of road, SA","Small upright mallee 2-4m tall, bark smooth, leaves variable in width, no flowers or buds present.  Locally dominant on slopes of rocky hillside facing north with E. leptophylla and E. faciculosa and occasionally E. cosmophylla. AD, CANB",-35.3333333333333,138.616666666667
88,1992-10-05,"Eucalyptus intertexta","300 metres NE of Paralana Hot Springs, Flinders Ranges, SA","Mallee or scraggly tree 2-4m tall, bark mostly smooth pink grey over creamy white.  Dominant tree on rocky, steep hillslope.  Growing with Triodia sp. AD, CANB",-30.1666666666667,139.416666666667
89,1992-10-05,"Eucalyptus dumosa","near waterfall on Mawson Plateau, N Flinders Ranges. SA","Mallee 3-5m tall, bark smooth to ground level.  Growing in mallee scrub on granite based soil with E. intertexta and Triodia sp.",-30.1333333333333,139.416666666667
90,1992-10-05,"Eucalyptus dumosa","near waterfall on Mawson Plateau, N Flinders Ranges. SA","Mallee 3-5m tall, bark smooth to ground level.  Growing in mallee scrub on granite based soil with E. interexta and Triodia sp.",-30.1333333333333,139.416666666667
91,1992-10-05,"Eucalyptus flindersii","Mawson Plateau, N Flinders Ranges. SA","Small mallee 1.5-4m tall, bark smooth grey to ground level.  Dominant mallee growing in crevices of granite boulders with Triodia sp.  No buds present.",-30.1333333333333,139.416666666667
92,1992-10-05,"Eucalyptus flindersii","Mawson Plateau, Northern Flinders Ranges, SA","Small mallee 1.5-4m tall, bark smooth grey to ground level.  Dominant mallee growing in crevices of granite boulders with Triodia sp.  No buds present. AD, CANB",-30.1333333333333,139.416666666667
93,1992-10-07,"Eucalyptus dumosa","About 7k N of Narrina Station, Flinders Ranges. SA","Mallee or small tree 4-8m tall, smooth creamy white bark almost to ground level, leaves slightly glossy green.  Frequent in open mallee on poorly drained flat plain in depressions on limestone.  E. dumosa proper also present.",-30.9166666666667,138.883333333333
94,1992-10-10,"Eucalyptus paludicola","S side of Coxes Scrub, 200 m NW of Bonds Rd in sandy creek.","Small tree 4-8m tall, bark rough dark on older stems, smooth above.  About 50 plants growing in sandy, but periodically water logged creek with E. cosmophylla, E. leucoxylon ssp. leucoxylon, E. ovata, E. aff. odorata and E. viminalis spp. cygnetensis. In full flower.",NA,NA
95,1992-10-10,"Eucalyptus paludicola","7.5k from Mt. Compass towards Nangkita, opposite ''Sunnyside''","Tree 7m tall, single trunk to 3m, dark brownish rough bark on stem.  Growing in very swampy flat paddock in sandy soil.  Flowering.",-35.35,138.683333333333
96,1992-10-17,"Eucalyptus paludicola","1k SE of Lawless Rd on Hindmarsh Valley Rd in creek on S side of Rd. SA","Spreading tree 4-6m tall, bark rough at base then smooth light grey.  Twelve trees growing in one clump in a swampy broad creek with E. cosmophylla and E. ovata.",-35.4,138.516666666667
97,1992-10-17,"Eucalyptus odorata","2.2k S of Mt. Compass to Goolwa Rd. on mosquito Hill Road, SA","Mallee to 3m tall with mostly smooth dark grey bark.  Frequent on stony ridge in mallee scrub with E. leucoxylon ssp. leucoxylon, E. baxteri and E. cosmophylla and grass trees.",-35.4333333333333,138.683333333333
98,1992-10-17,"Eucalyptus paludicola","400 m down Mosquito Hill Rd. from Mt. Compass to Victor Harbour Rd. SA","Tree 10m tall, bark rough at base.  15 to 20 trees growing in creek by roadside with E. ovata and E. leucoxylon ssp. leucoxylon.",-35.45,138.65
99,1992-10-17,"Eucalyptus paludicola","400 m down Mosquito Hill Rd. from Mt. Compass to Victor Harbour Rd. SA","Juveniles from coppice.",NA,NA
100,1992-10-24,"Eucalyptus dalrympleana subsp. dalrympleana","40 m S of intersection of Mt. Compass to Goolwa & Mt. Compass to Victor Harbour Roads.","Small spreading tree 7m tall, bark smooth powdery white to ground level.  Juvenile leaves rounded and glaucous found on trunk.  Very rare, growing on roadside, woodland in low lying area with E. baxteri.",-35.3833333333333,138.633333333333
101,1992-10-31,"Eucalyptus paludicola","300 metres from Mt. Compass to Goolwa Road on Kokoda Road, then 200 metres on S side of road in creek, SA.","Pure stand of more than 60 trees, 5-10m tall, bark flaky cream to grey bark becoming smooth on larger branches.  Flowering just finished.  Growing in swampy cattle grazing land, isolated stand in bracken fern in broad valley. AD, CANB",NA,NA
102,1992-10-31,"Eucalyptus odorata","South side of Coxes Scrub, 200 metres NW of Bonds Rd in sandy creek, SA","Whipstick mallee to 4m, erect habit, bark smooth or in larger mallees slightly matte, leaves glossy, older leaves becoming dull.  No buds present.  Growing in closed woodland as an understory species in sandy creekbed, associated with E. leucoxylon, E. paludicola, E. cosmophylla and E. faciculosa. AD, CANB",-35.35,138.733333333333
103,1992-12-04,"Eucalyptus calcareana","3.6k west of Nundroo, SA","Small spreading tree to 10m in woodland with E. oleosa on limestone. Smooth grey over cream bark. No buds present. Dull, olive green leaves. Common, dominant.",-31.7680555555556,132.196666666667
104,1992-12-04,"Eucalyptus oleosa subsp. ampliata","3.6k west of Nundroo, SA","Scraggly tree 6m tall on limestone plain with E. calcareana dominant. Bark rough to branches. Some trees in flower. Glossy light green leaves. Scattered.",-31.7680555555556,132.196666666667
105,1992-12-04,"Eucalyptus oleosa subsp. ampliata","51k west of Yalata, SA (edge of Nullabor)","Large mallee 3-6m tall on undulating loam over limestone, open scrub with Melaleuca lanceolata and E. calcareana nearby. Bark rough, thick, shaggy for 1-3 metres. Glossy green leaves. Co dominant, common on Nullabor.",-31.3638888888889,131.298611111111
106,1992-12-04,"Eucalyptus oleosa subsp. ampliata","51k west of Yalata, SA (edge of Nullabor)","Juveniles from stem coppice on undulating loam over limestone, open scrub with Melaleuca lanceolata and E. calcareana nearby. Bark rough, thick, shaggy for 1-3 metres. Co dominant, common on Nullabor.",-31.3638888888889,131.298611111111
107,1992-12-05,"Eucalyptus eremicola subsp. eremicola","Cook - Vokes Hill Road","Mallee 3m tall on sandhills with Mulga. Smooth white or some rough bark present at base. Starting to flower. Scattered.",-29.8494444444444,130.100833333333
108,1992-12-05,"Eucalyptus canescens subsp. canescens","Cook - Vokes Hill Road","Mallee 2m tall between sandhills with mulga & E. eucentrica. Bark rough on most of stem. Glaucous and dull leaves. Scattered.",-29.5116666666667,130.315555555556
109,1992-12-05,"Eucalyptus vokesensis",NA,"Mallee to 5m tall on sand hills & plain with mulga & E. striaticalyx. Bark rough on lower stem. Some flowering. Scattered. Has more glaucous & ovate leaves than typical E. eucentrica.",-29.5116666666667,130.148888888889
110,1992-12-05,"Eucalyptus pimpiniana","Cook to Vokes Hill Road, Great Victoria Desert, South Australia.","Low mallee to 1.5 metres tall. Smooth bark. Dull blue-green leaves. In flower (yellow). Co dominant with Eucalyptus yumbarrana. Mallee scrub on sand plain with E. yumbarrana. .  Photo #2.",-29.3497222222222,130.193888888889
111,1992-12-05,"Eucalyptus pimpiniana x E. socialis subsp. victoriensis","Cook to Vokes Hill Road","Mallee 2m tall in mallee scrub on sand plain with E. yumbarrana and E. pimpiniana, 1 mallee.",-29.3497222222222,130.193888888889
112,1992-12-05,"Eucalyptus wyolensis","East of Cook to Vokes Hill Road","Scraggly tree or mallee to 8m. Scattered, but in mostly pure stands on mallee sandplain with E. concinna, E. yumbarrana and E. eucentrica. Bark rough to 10cm diameter. No buds present. Photo #1.",-29.3369444444444,130.220277777778
113,1992-12-05,"Eucalyptus socialis subsp. victoriensis","West of Vokes Hill to Cook Road","Mallee 3-4m tall. Common, often dominant on mallee sandplain with E. concinna. Bark rough on butt. No buds. Similar to E. eucentrica but non glaucous and thicker leaves and fruit.",-29.3697222222222,130.049166666667
114,1992-12-06,"Eucalyptus diversifolia subsp. hesperia","Escarpment (south side) on north of Eyre Highway, east of Mudura continuing westwards","Mallee 2-3 m tall. Localised in clumps. In limestone/granite boulders on slope of hill with E. gracilis nearby. Bark mostly smooth (some mallees rough barked) at base. Leaves slightly glossy, green (older growth dull). No mature buds present.",-31.915,127.273611111111
115,1992-12-06,"Eucalyptus optima",NA,"Tree to 12m tall. Pure stand. Bark smooth grey over cream to ground level. No buds present.",-32.2927777777778,123.497222222222
116,1992-12-06,"Eucalyptus fraseri subsp. fraseri","WA","Growing with E. gracilis. Bark smooth to ground level. Glossy green leaves.",-32.2836111111111,123.482222222222
117,1992-12-06,"Eucalyptus terebra",NA,"Growing in pure stands. Photo in Eucs.2  is collection site.",-32.2747222222222,123.465555555556
118,1992-12-06,"Eucalyptus balladoniensis subsp. balladoniensis",NA,"Growing with  E. optima and E. platycorys.  Bark rough grey for ~1m then smooth.",-32.2575,123.435
119,1992-12-06,"Eucalyptus indurata",NA,"A Group of mallees growing with E. balladoniensis and E. optima. Bark rough on most of stem. Slightly glossy green leaves.",-32.2575,123.435
120,1992-12-06,"Eucalyptus laevis",NA,"Common growing with E. eremophila and E. terebra.",-32.2325,123.39
121,1992-12-06,"Eucalyptus cylindrocarpa","WA","Growing with E. spreta and E. calycogona",-32.2222222222222,123.365
122,1992-12-06,"Eucalyptus spreta",NA,"Growing with  E. cylindrocarpa and E. calycogona. Steep branching habit.",-32.2222222222222,123.365
123,1992-12-06,"Eucalyptus grossa",NA,"Low sprawling mallee to 3m tall growing with E. leptophylla ( whipstick form). Glossy light to dark green leaves.",-32.2233333333333,123.338611111111
124,1992-12-06,"Eucalyptus histophylla","WA","Growing with E. leptophylla. Smooth light grey bark. Dull blue-green leaves.",-32.1986111111111,123.319166666667
125,1992-12-06,"Eucalyptus cyclostoma",NA,"Growing with E. balladoniensis and E. optima.",-32.1594444444444,123.24
126,1992-12-06,"Eucalyptus protensa",NA,"Growing with E. calycogona and E. laevis. Bark glossy bronze. Very glossy dark green leaves.",-32.0975,123.114166666667
127,1992-12-06,"Eucalyptus effusa subsp. effusa",NA,"Scraggly effuse mallee to 4m tall growing with E. leptophylla. Some flowers.",-32.0522222222222,122.965
128,1992-12-06,"Eucalyptus fraseri subsp. melanobasis",NA,"Growing in a pure stand. Bark rough, black for 2m.",-32.0280555555556,122.866666666667
129,1992-12-06,"Eucalyptus dundasii","Just west of Fraser range on Eyre Highway, Western Australia.","Erect tree to 15 metres tall in pure stands (Eucalyptus phenax nearby), with no undergrowth. No buds present. PERTH",-32.025,122.773888888889
130,1992-12-06,"Eucalyptus tortilis",NA,"Growing with E. lesoufii. Steep branching habit.",-32.0638888888889,122.205833333333
131,1992-12-06,"Eucalyptus planipes","WA","Small mallee 2m tall growing with E. celastroides. Smooth bark.",-32.0638888888889,122.205833333333
132,1992-12-06,"Eucalyptus celastroides subsp. celastroides",NA,"Mallee 3m tall growing with E. platycorys. Smooth bark.",-32.1183333333333,122.008611111111
133,1992-12-06,"Eucalyptus platydisca","North side Mount Norcott","Mallee 2-4m tall. Common, but localised. Growing on iron stone slopes in Triodia. Smooth bark.",-32.1183333333333,122.008611111111
134,1992-12-06,"Eucalyptus ravida","South-east of Norseman, Western Australia.","In pure stands, Eucalyptus flocktoniae and E. celastroides nearby. All in flower. All parts strongly glaucous.",-32.0938888888889,122.026666666667
135,1992-12-06,"Eucalyptus torquata","North-west of Norseman, just W of Coolgardie - Esperance Hwy, Western Australia.","In flower (pink). Leaves dull, grey-green. Scattered with Eucalyptus lesoufii and E. celastroides subsp. celastroides.",-32.1363888888889,121.693055555556
136,1992-12-06,"Eucalyptus brockwayi",NA,"Tree 20m tall. With E. lesoufii and E. celastroides. Rare.",-32.1366666666667,121.694166666667
137,1992-12-06,"Eucalyptus pterocarpa",NA,"With E. brockwayi. Bark smooth to ground level. Glossy light green leaves.",-32.1513888888889,121.639444444444
138,1992-12-06,"Eucalyptus websteriana","C.  600m in W of causeway, N of Norseman then 100m south of road","Mallee 2m tall foliage to ground level. On ironstone in dense Casuarina. Minirichi bark.",-32.1533333333333,121.736111111111
139,1992-12-06,"Eucalyptus loxophleba subsp. lissophloia","South of Norseman (where road detours around rocky outcrop), Western Australia.","Mallee to 5 metres tall. Pure stand. Smooth coppery bark. PERTH",-32.4538888888889,121.691666666667
140,1992-12-06,"Eucalyptus subtilis",NA,"With E. grossa. In flower.",-32.5247222222222,121.607777777778
141,1992-12-06,"Eucalyptus kumarlensis",NA,"Bark smooth creamy grey over orange-copper. With Eucalyptus eremophila.",-32.6425,121.505833333333
142,1992-12-06,"Eucalyptus diptera x E. salubris",NA,"Whipstick mallee with E. pileata in pure stands.",-32.6311111111111,121.534722222222
143,1992-12-06,"Eucalyptus melanoxylon",NA,"Tree to 12m tall. Bark rough for half height of tree. Form with flat warty buds.",-32.6711111111111,121.539722222222
144,1992-12-06,"Eucalyptus cylindriflora",NA,"Mallee 4m tall. With E. valens and E. diptera.",-32.8719444444444,121.591388888889
145,1992-12-06,"Eucalyptus extensa",NA,"With E. diptera, E. flocktoniae and E. pileata.",-32.8805555555556,121.595555555556
146,1992-12-06,"Eucalyptus diptera",NA,"Brown-copper, smooth bark. With E. cylindroflora and E. quadrans.",-32.9641666666667,121.634166666667
147,1992-12-06,"Eucalyptus misella",NA,"Mallee 2m tall. Dull blue-green leaves. With E. tetragona on sandplain.",-33.115,121.194722222222
148,1992-12-06,"Eucalyptus perangusta",NA,"Mallee to 1m tall. Leaves light green, similar to Melaleuca uncinata. With Eucalyptus misella and E. varia subsp. varia.",-33.1063888888889,121.190555555556
149,1992-12-06,"Eucalyptus delicata",NA,"Tree 12m tall on mallee sandplain with E. valens and E. flocktoniae bark rough for ~2m. Leaves very glossy.",-33.0558333333333,121.174166666667
150,1992-12-06,"Eucalyptus angustissima","Upper Lort River , north-west of Esperance, Western Australia.","Mallee to 3 metres tall. Growing with Eucalyptus incrassata on sandplain near salt lake. PERTH",-33.0461111111111,121.172222222222
151,1992-12-06,"Eucalyptus oleosa subsp. cylindroidea",NA,"Mallee or small tree to 8 m tall. Bark rough dark brown to 8cm diameter. Leaves glossy dark green. Growing on sandplain on slight rise, pure stand.",-33.1997222222222,121.371111111111
152,1992-12-06,"Eucalyptus dolichorhyncha","Rollonds Road, west of the Norseman - Esperance road, Western Australia.","Growing with E. leptocalyx.",-33.1594444444444,121.446388888889
153,1992-12-06,"Eucalyptus leptocalyx subsp. leptocalyx",NA,"Mallee, smooth bark, glossy dark green leaves. Growing with E. dolichorrhyncha.",-33.1594444444444,121.446388888889
154,1992-12-06,"Eucalyptus pleurocarpa",NA,"Growing on sand plain, slight rise.",-33.1577777777778,121.640277777778
155,1992-12-06,"Eucalyptus halophila",NA,"Pure stand near salt lakes. Leaves dull grey green.",-22.3383333333333,121.747222222222
156,1992-12-06,"Eucalyptus merrickiae",NA,"Growing with E. halophila. Bark rough over most of stems. Dull green leaves.",-33.3394444444444,121.760555555556
157,1992-12-06,"Eucalyptus rigens",NA,"Mallee to 3m tall growing around salt lake. Smooth bark.",-33.3486111111111,121.766666666667
158,1992-12-06,"Eucalyptus valens","WA","With E. eremophila on limestone, tree 6m tall, no buds present.",-33.35,121.772777777778
159,1992-12-06,"Eucalyptus tumida","Type location","Mallee 4m tall with E. forestiana , glossy light green leaves.",-33.4088888888889,121.894166666667
160,1992-12-06,"Eucalyptus forrestiana",NA,"Mallee 3m tall, with E. tumida.",-33.4088888888889,121.894166666667
161,1992-12-06,"Eucalyptus foliosa",NA,"Mallee to 4m tall, near salt lake with E. uncinata, leaves dull, slightly blue green.",-33.4822222222222,121.707222222222
162,1992-12-06,"Eucalyptus uncinata (dendra)",NA,"Large mallee 5m tall, leaves glossy green, bark rough on lower stem (1-2m).",-33.4822222222222,121.707222222222
163,1992-12-06,"Eucalyptus varia (salsuginosa)",NA,"Spreading mallee to 3m, on salty, dry, creek bed. Bark rough to 20cm high. Leaves dull yellowish green.",-33.5172222222222,121.671944444444
164,1992-12-06,"Eucalyptus kessellii subsp. eugnosta",NA,"Small tree to 5m tall. Bark smooth. Leaves glossy green.",-33.5183333333333,121.613611111111
165,1992-12-06,"Eucalyptus indurata",NA,"Mallee to 6m tall, erect habit. Bark rough to 2m.",-33.4819444444444,121.582222222222
167,1992-12-08,"Eucalyptus varia",NA,"Mallee (spreading) to 6m tall. Pure stand, E. occidentalis nearby. Bark slightly rough (ribbony) for 1m then smooth. Leaves dull blue green.",-33.7483333333333,122.156111111111
168,1992-12-08,"Eucalyptus cooperiana",NA,"Erect mallee to 5m tall, with E. balanopelex and E. occidentalis.",-33.7355555555556,122.291111111111
169,1992-12-08,"Eucalyptus kessellii subsp. eugnosta x E. semiglobosa (=E. balanopelex)",NA,"Erect mallee to 6m tall. Bark smooth light grey.",-33.7355555555556,122.291111111111
170,1992-12-08,"Eucalyptus occidentalis","WA","Large mallee to 10m tall. Bark rough to 5cm (dark brown).",-33.7388888888889,122.291111111111
